"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"rgdal","rgdal","C:/Program Files/R/R-4.1.2/library","1.5-30",NA,"R (>= 3.5.0), methods, sp (>= 1.1-0)","grDevices, graphics, stats, utils","sp","knitr, DBI, RSQLite, maptools, mapview, rmarkdown, curl,
rgeos",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.3"
"rgee","rgee","C:/Program Files/R/R-4.1.2/library","1.1.3",NA,"R (>= 3.3.0)","methods, reticulate (>= 1.24), rstudioapi (>= 0.7), leaflet
(>= 2.0.2), magrittr, jsonlite, processx, leafem, crayon, R6,
cli",NA,"leaflet.extras2, magick, geojsonio, sf, stars, googledrive
(>= 2.0.0), googleCloudStorageR (>= 0.6.0), gargle, raster,
rgdal, httr, digest, spelling, testthat, future, covr, knitr,
rmarkdown, png",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.1.3"
"rgeoda","rgeoda","C:/Program Files/R/R-4.1.2/library","0.0.9",NA,"R (>= 4.0.0), methods, digest","sf, Rcpp (>= 1.0.1)","Rcpp, BH","wkb, sp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.3"
"rgeos","rgeos","C:/Program Files/R/R-4.1.2/library","0.5-9",NA,"R (>= 3.3.0), methods, sp (>= 1.1-0)","utils, stats, graphics","sp","maptools (>= 0.8-5), testthat, XML, maps, rgdal",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"RgoogleMaps","RgoogleMaps","C:/Program Files/R/R-4.1.2/library","1.4.5.3",NA,"R (>= 2.10)","graphics, stats, utils, grDevices, methods, png,sp",NA,"PBSmapping, maptools, loa, RColorBrewer, leaflet,jpeg, RCurl",NA,"GPL",NA,NA,NA,NA,"no","4.1.2"
"Rgraphviz","Rgraphviz","C:/Program Files/R/R-4.1.2/library","2.38.0",NA,"R (>= 2.6.0), methods, utils, graph, grid","stats4, graphics, grDevices",NA,"RUnit, BiocGenerics, XML",NA,"EPL",NA,NA,NA,NA,"yes","4.1.1"
"riskParityPortfolio","riskParityPortfolio","C:/Program Files/R/R-4.1.2/library","0.2.2",NA,NA,"alabama, Matrix, nloptr, quadprog, Rcpp","Rcpp, RcppEigen","knitr, ggplot2, numDeriv, portfolioBacktest, prettydoc,
rmarkdown, R.rsp, testthat, viridisLite",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.3"
"RiskPortfolios","RiskPortfolios","C:/Program Files/R/R-4.1.2/library","2.1.7",NA,NA,"MASS, quadprog, nloptr",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.3"
"riskRegression","riskRegression","C:/Program Files/R/R-4.1.2/library","2021.10.10",NA,"R (>= 3.5.0),","cmprsk, data.table (>= 1.12.2), doParallel, foreach, ggplot2
(>= 3.1.0), graphics, lattice, lava (>= 1.6.5), mets, mvtnorm,
parallel, plotrix, prodlim (>= 2018.4.18), Publish, ranger,
Rcpp, rms (>= 5.1.3), stats, survival (>= 2.44.1), timereg (>=
1.9.3)","Rcpp, RcppArmadillo","boot, smcfcs, casebase, ipw, gbm, flexsurv, mgcv, mstate,
nnls, numDeriv, party, pec, penalized, pROC, randomForest,
randomForestSRC, rpart, scam, SuperLearner, testthat, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"rjson","rjson","C:/Program Files/R/R-4.1.2/library","0.2.21",NA,"R (>= 4.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.2"
"rlang","rlang","C:/Program Files/R/R-4.1.2/library","0.4.12",NA,"R (>= 3.3.0)","utils",NA,"cli, covr, crayon, glue, magrittr, methods, pak, pillar,
rmarkdown, testthat (>= 3.0.0), vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"rmapshaper","rmapshaper","C:/Program Files/R/R-4.1.2/library","0.4.5",NA,NA,"geojsonio (>= 0.9.4), geojsonlint (>= 0.4.0), jsonlite (>=
1.7.0), methods, readr (>= 1.4.0), sf (>= 0.9-0), sp (>=
1.4-0), V8 (>= 3.4.2)",NA,"knitr, magrittr, rgdal, rgeos, rmarkdown, testthat (>=
2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"rmarkdown","rmarkdown","C:/Program Files/R/R-4.1.2/library","2.11",NA,"R (>= 3.0)","tools, utils, knitr (>= 1.22), yaml (>= 2.1.19), htmltools (>=
0.3.5), evaluate (>= 0.13), jsonlite, tinytex (>= 0.31), xfun
(>= 0.21), jquerylib, methods, stringr (>= 1.2.0)",NA,"shiny (>= 1.6.0), tufte, testthat (>= 3.0.0), digest,
dygraphs, vctrs, tibble, fs, rsconnect, withr (>= 2.4.2), bslib
(>= 0.2.5.1), sass (>= 0.4.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"rms","rms","C:/Program Files/R/R-4.1.2/library","6.2-0",NA,"R (>= 3.5.0), Hmisc (>= 4.3-0), survival (>= 3.1-12), lattice,
ggplot2 (>= 2.2), SparseM","methods, quantreg, rpart, nlme (>= 3.1-123), polspline,
multcomp, htmlTable (>= 1.11.0), htmltools, MASS, cluster,
digest",NA,"boot, tcltk, plotly (>= 4.5.6), knitr, mice, rmsb",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"rnaturalearth","rnaturalearth","C:/Program Files/R/R-4.1.2/library","0.3.0",NA,"R (>= 3.1.1)","sp (>= 1.0.15), utils (>= 3.2.3), sf (>= 0.3-4), httr (>=
1.1.0), jsonlite",NA,"ggrepel, rgdal, knitr (>= 1.12.3), testthat (>= 0.9.1),
devtools (>= 1.10.0), rnaturalearthdata (>= 0.1.0),
rnaturalearthhires (>= 0.1.0), raster (>= 2.5-2), rgeos,
pbapply, ggplot2, dplyr, purrr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"rnaturalearthdata","rnaturalearthdata","C:/Program Files/R/R-4.1.2/library","0.2.0",NA,"R (>= 3.1.1)","sp (>= 1.0.15)",NA,"knitr (>= 1.12.3), testthat (>= 0.9.1)",NA,"CC0",NA,NA,NA,NA,"no","4.1.2"
"rnaturalearthhires","rnaturalearthhires","C:/Program Files/R/R-4.1.2/library","0.2.0",NA,"R (>= 3.1.1)","sp (>= 1.0.15)",NA,"knitr (>= 1.12.3), testthat (>= 0.9.1)",NA,"CC0",NA,NA,NA,NA,"no","4.1.2"
"roxygen2","roxygen2","C:/Program Files/R/R-4.1.2/library","7.1.2",NA,"R (>= 3.3)","brew, commonmark, desc (>= 1.2.0), digest, knitr, methods,
pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2), rlang,
stringi, stringr (>= 1.0.0), utils, xml2","cpp11","covr, devtools, rmarkdown, testthat (>= 2.1.0), R.methodsS3,
R.oo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"rpart","rpart","C:/Program Files/R/R-4.1.2/library","4.1-15","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"rprojroot","rprojroot","C:/Program Files/R/R-4.1.2/library","2.0.2",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"rsample","rsample","C:/Program Files/R/R-4.1.2/library","0.1.0",NA,"R (>= 3.2)","dplyr (>= 1.0.0), purrr, tibble, rlang (>= 0.4.10), methods,
generics, tidyselect, furrr, tidyr, vctrs (>= 0.3.0), slider
(>= 0.1.5), ellipsis, lifecycle",NA,"utils, stats, ggplot2, testthat, rmarkdown, knitr, recipes
(>= 0.1.4), broom, xml2, covr, modeldata",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"Rsolnp","Rsolnp","C:/Program Files/R/R-4.1.2/library","1.16",NA,"R (>= 2.10.0)","truncnorm, parallel, stats",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.1.3"
"rstan","rstan","C:/Program Files/R/R-4.1.2/library","2.21.3",NA,"R (>= 3.4.0), StanHeaders (>= 2.21.0), ggplot2 (>= 3.0.0)","methods, stats4, inline, gridExtra (>= 2.0.0), Rcpp (>=
0.12.0), RcppParallel (>= 5.0.1), loo (>= 2.3.0), pkgbuild","Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0), BH (>=
1.72.0-2), StanHeaders (>= 2.21.0), RcppParallel","RUnit, RcppEigen (>= 0.3.3.3.0), BH (>= 1.72.0-2), parallel,
KernSmooth, shinystan (>= 2.3.0), bayesplot (>= 1.5.0),
rmarkdown, rstantools, rstudioapi, Matrix, knitr (>= 1.15.1),
V8",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.2"
"rstanarm","rstanarm","C:/Program Files/R/R-4.1.2/library","2.21.1",NA,"R (>= 3.4.0), Rcpp (>= 0.12.0), methods","bayesplot (>= 1.7.0), ggplot2 (>= 2.2.1), lme4 (>= 1.1-8), loo
(>= 2.1.0), Matrix (>= 1.2-13), nlme (>= 3.1-124), rstan (>=
2.21.1), rstantools (>= 2.1.0), shinystan (>= 2.3.0), stats,
survival (>= 2.40.1), RcppParallel (>= 5.0.1), utils","StanHeaders (>= 2.21.0), rstan (>= 2.21.1), BH (>=
1.72.0-2), Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0),
RcppParallel (>= 5.0.1)","betareg, data.table (>= 1.10.0), digest, gridExtra, HSAUR3,
knitr (>= 1.15.1), MASS, mgcv (>= 1.8-13), rmarkdown, roxygen2,
StanHeaders (>= 2.21.0), testthat (>= 1.0.2)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.3"
"rstantools","rstantools","C:/Program Files/R/R-4.1.2/library","2.1.1",NA,NA,"desc, stats, utils, Rcpp (>= 0.12.16), RcppParallel (>= 5.0.1)",NA,"rstan (>= 2.17.2), usethis (>= 1.5.1), testthat (>= 2.0.0),
knitr, pkgbuild, pkgload, roxygen2 (>= 6.0.1), rmarkdown,
rstudioapi",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.3"
"rstpm2","rstpm2","C:/Program Files/R/R-4.1.2/library","1.5.2",NA,"R (>= 3.0.2), methods, survival, splines","graphics, Rcpp (>= 0.10.2), stats, mgcv, bbmle (>= 1.0.20),
fastGHQuad, deSolve, utils, parallel","Rcpp,RcppArmadillo,BH","eha, testthat, ggplot2, lattice, readstata13, mstate, scales,
survPen",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"rstudioapi","rstudioapi","C:/Program Files/R/R-4.1.2/library","0.13",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"Rttf2pt1","Rttf2pt1","C:/Program Files/R/R-4.1.2/library","1.3.8",NA,"R (>= 2.15)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.1.2"
"rugarch","rugarch","C:/Program Files/R/R-4.1.2/library","1.4-8",NA,"R (>= 3.5.0), methods, parallel","Rsolnp, ks, numDeriv, spd, xts, zoo, chron, SkewHyperbolic,
Rcpp,graphics, stats, grDevices, utils","Rcpp (>= 0.10.6), RcppArmadillo (>= 0.2.34)",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.3"
"rversions","rversions","C:/Program Files/R/R-4.1.2/library","2.1.1",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"rvest","rvest","C:/Program Files/R/R-4.1.2/library","1.0.2",NA,"R (>= 3.2)","httr (>= 0.5), lifecycle (>= 1.0.0), magrittr, rlang (>=
0.4.10), selectr, tibble, xml2 (>= 1.3)",NA,"covr, glue, knitr, readr, rmarkdown, repurrrsive, spelling,
stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"s2","s2","C:/Program Files/R/R-4.1.2/library","1.0.7",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.5.0)","Rcpp, wk","testthat, vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.1.2"
"sandwich","sandwich","C:/Program Files/R/R-4.1.2/library","3.0-1",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.1.1"
"sas7bdat","sas7bdat","C:/Program Files/R/R-4.1.2/library","0.5",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"sass","sass","C:/Program Files/R/R-4.1.2/library","0.4.0",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"satellite","satellite","C:/Program Files/R/R-4.1.2/library","1.0.4",NA,"R (>= 2.10), raster, methods, utils, stats, grDevices,
graphics","plyr, Rcpp (>= 0.10.3), terra, tools, stats4","Rcpp","devtools, knitr, rgdal, testthat, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"scales","scales","C:/Program Files/R/R-4.1.2/library","1.1.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), testthat (>=
2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"selectr","selectr","C:/Program Files/R/R-4.1.2/library","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.1.1"
"servr","servr","C:/Program Files/R/R-4.1.2/library","0.24",NA,"R (>= 3.0.0)","mime (>= 0.2), httpuv (>= 1.5.2), xfun, jsonlite",NA,"tools, later, rstudioapi, knitr (>= 1.9), rmarkdown",NA,"GPL",NA,NA,NA,NA,"no","4.1.2"
"sessioninfo","sessioninfo","C:/Program Files/R/R-4.1.2/library","1.2.1",NA,"R (>= 2.10)","cli (>= 3.1.0), tools, utils",NA,"callr, covr, mockery, reticulate, rmarkdown, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.2"
"sf","sf","C:/Program Files/R/R-4.1.2/library","1.0-5",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.0.7), stats, tools, units
(>= 0.6-0), utils","Rcpp","blob, covr, dplyr (>= 0.8-3), ggplot2, knitr, lwgeom (>=
0.2-1), maps, mapview, Matrix, microbenchmark, odbc, pillar,
pool, raster, rgdal, rgeos, rlang, rmarkdown, RPostgres (>=
1.1.0), RPostgreSQL, RSQLite, sp (>= 1.2-4), spatstat (>=
2.0-1), spatstat.geom, spatstat.core, spatstat.linnet,
spatstat.utils, stars (>= 0.2-0), terra, testthat, tibble (>=
1.4.1), tidyr (>= 1.0-0), tidyselect (>= 1.0.0), tmap (>= 2.0),
vctrs, wk",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"sfheaders","sfheaders","C:/Program Files/R/R-4.1.2/library","0.4.0",NA,NA,"geometries (>= 0.2.0), Rcpp","geometries, Rcpp","covr, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"shiny","shiny","C:/Program Files/R/R-4.1.2/library","1.7.1",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.2.1), htmltools (>=
0.5.2), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.1.0), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.0), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.3.0), cachem, ellipsis, lifecycle (>= 0.2.0)",NA,"datasets, Cairo (>= 1.5-5), testthat (>= 3.0.0), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, shinytest (>= 1.4.0.9003), yaml, future, dygraphs,
ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"shinydashboard","shinydashboard","C:/Program Files/R/R-4.1.2/library","0.7.2",NA,"R (>= 3.0)","utils, shiny (>= 1.0.0), htmltools (>= 0.2.6), promises",NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"shinyjs","shinyjs","C:/Program Files/R/R-4.1.2/library","2.1.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), jsonlite, shiny (>= 1.0.0)",NA,"htmltools (>= 0.2.9), knitr (>= 1.7), rmarkdown, shinyAce,
shinydisconnect, testthat (>= 0.9.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"shinystan","shinystan","C:/Program Files/R/R-4.1.2/library","2.6.0",NA,"R (>= 3.1.0), shiny (>= 1.0.3)","bayesplot (>= 1.5.0), colourpicker, DT (>= 0.2), dygraphs (>=
1.1.1.2), ggplot2 (>= 2.1.1), gridExtra, gtools, markdown (>=
0.7.4), methods, reshape2, rstan (>= 2.17.1), stats, shinyjs
(>= 0.6.0), shinythemes (>= 1.0.1), threejs (>= 0.2.1), utils,
xtable, xts (>= 0.9-7)",NA,"cmdstanr (>= 0.4.0), coda, knitr (>= 1.9), posterior (>=
1.0.0), rmarkdown (>= 0.8.1), rsconnect (>= 0.4.2), rstanarm
(>= 2.17.4), testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.3"
"shinythemes","shinythemes","C:/Program Files/R/R-4.1.2/library","1.2.0",NA,"R (>= 3.0.0)","shiny (>= 0.11)",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"showtext","showtext","C:/Program Files/R/R-4.1.2/library","0.9-4",NA,"sysfonts (>= 0.7.1), showtextdb (>= 2.0)","grDevices",NA,"knitr, rmarkdown, prettydoc, curl, jsonlite",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","4.1.2"
"showtextdb","showtextdb","C:/Program Files/R/R-4.1.2/library","3.0",NA,NA,"sysfonts (>= 0.7), utils",NA,"curl",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.1.2"
"signs","signs","C:/Program Files/R/R-4.1.2/library","0.1.2",NA,NA,"scales, rlang (>= 0.4.0)",NA,"ggplot2, dplyr, ggrepel, testthat (>= 2.1.0), knitr,
rmarkdown, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"SkewHyperbolic","SkewHyperbolic","C:/Program Files/R/R-4.1.2/library","0.4-0",NA,"R (>= 3.0.1)","grDevices, graphics, stats, DistributionUtils,
GeneralizedHyperbolic",NA,"RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.3"
"slider","slider","C:/Program Files/R/R-4.1.2/library","0.2.2",NA,"R (>= 3.3.0)","ellipsis (>= 0.3.1), glue, rlang (>= 0.4.5), vctrs (>= 0.3.6),
warp","vctrs (>= 0.3.6)","covr, dplyr (>= 1.0.0), knitr, lubridate, rmarkdown, testthat
(>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"snakecase","snakecase","C:/Program Files/R/R-4.1.2/library","0.11.0",NA,"R (>= 3.2)","stringr, stringi",NA,"testthat, covr, tibble, purrrlyr, knitr, rmarkdown, magrittr",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.3"
"sourcetools","sourcetools","C:/Program Files/R/R-4.1.2/library","0.1.7",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"sp","sp","C:/Program Files/R/R-4.1.2/library","1.4-6",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"SparseM","SparseM","C:/Program Files/R/R-4.1.2/library","1.81",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"spatial","spatial","C:/Program Files/R/R-4.1.2/library","7.3-14","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"spd","spd","C:/Program Files/R/R-4.1.2/library","2.0-1",NA,"methods","KernSmooth, stats, graphics, utils",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.1.3"
"spData","spData","C:/Program Files/R/R-4.1.2/library","2.0.1",NA,"R (>= 3.3.0)","sp, raster",NA,"foreign, maptools, rgdal, sf (>= 0.9-1), spDataLarge (>=
0.4.0), spdep, spatialreg",NA,"CC0",NA,NA,NA,NA,"no","4.1.3"
"spdep","spdep","C:/Program Files/R/R-4.1.2/library","1.2-2",NA,"R (>= 3.3.0), methods, sp (>= 1.0), spData (>= 0.2.6.0), sf","stats, deldir, boot (>= 1.3-1), graphics, utils, grDevices,
units, s2, e1071",NA,"spatialreg (>= 1.2-1), Matrix, parallel, dbscan, rgeos,
RColorBrewer, lattice, xtable, maptools (>= 0.5-4), foreign,
igraph, RSpectra, knitr, rgdal, classInt, tmap, spam, ggplot2,
rmarkdown, tinytest, rgeoda",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.3"
"splines","splines","C:/Program Files/R/R-4.1.2/library","4.1.2","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"SQUAREM","SQUAREM","C:/Program Files/R/R-4.1.2/library","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"stabs","stabs","C:/Program Files/R/R-4.1.2/library","0.6-4",NA,"R (>= 2.14.0), methods, stats, parallel","graphics, grDevices, utils",NA,"glmnet, lars, mboost (> 2.3-0), gamboostLSS (>= 1.2-0),
TH.data, hdi, testthat, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"StanHeaders","StanHeaders","C:/Program Files/R/R-4.1.2/library","2.21.0-7",NA,"R (>= 3.4.0)","RcppParallel (>= 5.0.1)","RcppEigen, RcppParallel (>= 5.0.1)","Rcpp, BH, knitr (>= 1.15.1), rmarkdown, Matrix, methods,
rstan",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"stars","stars","C:/Program Files/R/R-4.1.2/library","0.5-5",NA,"R (>= 3.3.0), abind, sf (>= 1.0.3)","methods, parallel, classInt (>= 0.4-1), lwgeom, rlang, units",NA,"PCICt, RNetCDF (>= 1.8-2), clue, covr, cubelyr, digest, dplyr
(>= 0.7-0), exactextractr, future.apply, ggforce, ggplot2,
ggthemes, gstat, httr, jsonlite, knitr, maps, mapdata,
ncdfgeom, ncmeta (>= 0.0.3), pbapply, plm, randomForest,
raster, rgdal, rmarkdown, sp, spacetime, spatstat (>= 2.0-1),
spatstat.geom, starsdata, terra (>= 1.4-22), testthat, tidyr,
viridis, xts, zoo",NA,"Apache License",NA,NA,NA,NA,"no","4.1.3"
"stats","stats","C:/Program Files/R/R-4.1.2/library","4.1.2","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"stats4","stats4","C:/Program Files/R/R-4.1.2/library","4.1.2","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.1.2",NA,NA,NA,NA,NA,"4.1.2"
"stringi","stringi","C:/Program Files/R/R-4.1.2/library","1.7.5",NA,"R (>= 3.1)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.1.1"
"stringr","stringr","C:/Program Files/R/R-4.1.2/library","1.4.0",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"summarytools","summarytools","C:/Program Files/R/R-4.1.2/library","1.0.0",NA,"R (>= 2.10)","base64enc, checkmate, dplyr, grDevices, htmltools, lubridate,
magick, matrixStats, methods, pander, pryr, rapportools, stats,
tcltk, tibble, tidyr, utils",NA,"forcats, formatR, kableExtra, knitr, magrittr, rmarkdown,
rstudioapi",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.2"
"survival","survival","C:/Program Files/R/R-4.1.2/library","3.2-13","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"svglite","svglite","C:/Program Files/R/R-4.1.2/library","2.0.0",NA,"R (>= 3.0.0)","systemfonts (>= 1.0.0)","cpp11, systemfonts","htmltools, testthat, xml2 (>= 1.0.0), covr, fontquiver (>=
0.2.0), knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"sys","sys","C:/Program Files/R/R-4.1.2/library","3.4",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"sysfonts","sysfonts","C:/Program Files/R/R-4.1.2/library","0.8.5",NA,NA,NA,NA,"curl, jsonlite",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.2"
"systemfonts","systemfonts","C:/Program Files/R/R-4.1.2/library","1.0.3",NA,"R (>= 3.2.0)",NA,"cpp11 (>= 0.2.1)","testthat (>= 2.1.0), covr, knitr, rmarkdown, tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"tcltk","tcltk","C:/Program Files/R/R-4.1.2/library","4.1.2","base",NA,"utils",NA,NA,NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"TeachingDemos","TeachingDemos","C:/Program Files/R/R-4.1.2/library","2.12",NA,"R (>= 2.10)",NA,NA,"tkrplot, lattice, MASS, rgl, tcltk, tcltk2, png, ggplot2,
logspline, maptools, R2wd, manipulate",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"terra","terra","C:/Program Files/R/R-4.1.2/library","1.5-12",NA,"R (>= 3.5.0)","methods, Rcpp","Rcpp","parallel, tinytest, ncdf4, sf (>= 0.9-8), deldir, XML, igraph",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.2"
